".scenario.id",".at","mh.scrninterv.start","mh.txinterv.start","mdd.diag.gen.prob_1","mdd.diag.gen.prob_2","mddscrnuptk.pstat.prob","mddscrnuptk.pind.prob","mdd.txinit.prob.reg_1","mdd.txinit.prob.reg_2","mdd.txinit.prob.reg_3","mdd.txinit.prob.prep_1","mdd.txinit.prob.prep_2","mdd.txinit.prob.prep_3","prep.start.prob_1","prep.start.prob_2","prep.start.prob_3","tx.init.rate_1","tx.init.rate_2","tx.init.rate_3","tx.reinit.partial.rate_1","tx.reinit.partial.rate_2","tx.reinit.partial.rate_3"
"c029_0.929_0.071_max",3901,3901,Inf,0.929,0.929,0,0.929,0.071,0.071,0.071,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c030_1_0.071_max",3901,3901,Inf,1,1,0,1,0.071,0.071,0.071,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c031_0_0.143_max",3901,3901,Inf,0,0,0,0,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c032_0.071_0.143_max",3901,3901,Inf,0.071,0.071,0,0.071,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c033_0.143_0.143_max",3901,3901,Inf,0.143,0.143,0,0.143,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c034_0.214_0.143_max",3901,3901,Inf,0.214,0.214,0,0.214,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c035_0.286_0.143_max",3901,3901,Inf,0.286,0.286,0,0.286,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c036_0.357_0.143_max",3901,3901,Inf,0.357,0.357,0,0.357,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c037_0.429_0.143_max",3901,3901,Inf,0.429,0.429,0,0.429,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c038_0.5_0.143_max",3901,3901,Inf,0.5,0.5,0,0.5,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c039_0.571_0.143_max",3901,3901,Inf,0.571,0.571,0,0.571,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c040_0.643_0.143_max",3901,3901,Inf,0.643,0.643,0,0.643,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c041_0.714_0.143_max",3901,3901,Inf,0.714,0.714,0,0.714,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c042_0.786_0.143_max",3901,3901,Inf,0.786,0.786,0,0.786,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c043_0.857_0.143_max",3901,3901,Inf,0.857,0.857,0,0.857,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c044_0.929_0.143_max",3901,3901,Inf,0.929,0.929,0,0.929,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c045_1_0.143_max",3901,3901,Inf,1,1,0,1,0.143,0.143,0.143,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c046_0_0.214_max",3901,3901,Inf,0,0,0,0,0.214,0.214,0.214,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c047_0.071_0.214_max",3901,3901,Inf,0.071,0.071,0,0.071,0.214,0.214,0.214,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c048_0.143_0.214_max",3901,3901,Inf,0.143,0.143,0,0.143,0.214,0.214,0.214,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c049_0.214_0.214_max",3901,3901,Inf,0.214,0.214,0,0.214,0.214,0.214,0.214,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c050_0.286_0.214_max",3901,3901,Inf,0.286,0.286,0,0.286,0.214,0.214,0.214,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c051_0.357_0.214_max",3901,3901,Inf,0.357,0.357,0,0.357,0.214,0.214,0.214,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c052_0.429_0.214_max",3901,3901,Inf,0.429,0.429,0,0.429,0.214,0.214,0.214,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
