".scenario.id",".at","mh.scrninterv.start","mh.txinterv.start","mdd.diag.gen.prob_1","mdd.diag.gen.prob_2","mddscrnuptk.pstat.prob","mddscrnuptk.pind.prob","mdd.txinit.prob.reg_1","mdd.txinit.prob.reg_2","mdd.txinit.prob.reg_3","mdd.txinit.prob.prep_1","mdd.txinit.prob.prep_2","mdd.txinit.prob.prep_3","prep.start.prob_1","prep.start.prob_2","prep.start.prob_3","tx.init.rate_1","tx.init.rate_2","tx.init.rate_3","tx.reinit.partial.rate_1","tx.reinit.partial.rate_2","tx.reinit.partial.rate_3"
"a029_0.929_0.071_base",3901,Inf,Inf,0.929,0.929,0,0,0.071,0.071,0.071,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a030_1_0.071_base",3901,Inf,Inf,1,1,0,0,0.071,0.071,0.071,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a031_0_0.143_base",3901,Inf,Inf,0,0,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a032_0.071_0.143_base",3901,Inf,Inf,0.071,0.071,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a033_0.143_0.143_base",3901,Inf,Inf,0.143,0.143,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a034_0.214_0.143_base",3901,Inf,Inf,0.214,0.214,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a035_0.286_0.143_base",3901,Inf,Inf,0.286,0.286,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a036_0.357_0.143_base",3901,Inf,Inf,0.357,0.357,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a037_0.429_0.143_base",3901,Inf,Inf,0.429,0.429,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a038_0.5_0.143_base",3901,Inf,Inf,0.5,0.5,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a039_0.571_0.143_base",3901,Inf,Inf,0.571,0.571,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a040_0.643_0.143_base",3901,Inf,Inf,0.643,0.643,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a041_0.714_0.143_base",3901,Inf,Inf,0.714,0.714,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a042_0.786_0.143_base",3901,Inf,Inf,0.786,0.786,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a043_0.857_0.143_base",3901,Inf,Inf,0.857,0.857,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a044_0.929_0.143_base",3901,Inf,Inf,0.929,0.929,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a045_1_0.143_base",3901,Inf,Inf,1,1,0,0,0.143,0.143,0.143,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a046_0_0.214_base",3901,Inf,Inf,0,0,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a047_0.071_0.214_base",3901,Inf,Inf,0.071,0.071,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a048_0.143_0.214_base",3901,Inf,Inf,0.143,0.143,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a049_0.214_0.214_base",3901,Inf,Inf,0.214,0.214,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a050_0.286_0.214_base",3901,Inf,Inf,0.286,0.286,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a051_0.357_0.214_base",3901,Inf,Inf,0.357,0.357,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a052_0.429_0.214_base",3901,Inf,Inf,0.429,0.429,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
